Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar,orig_t_processed,gscholar_t_processed,simi_score
"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",Random optimization,10.1093/joc/jqab051,2022,"https://scholar.google.com/scholar?cites=16237036322479766335&as_sdt=5,50&sciodt=0,50&hl=en",565,girlgamers soldiers and public relations analyzing gender representation in u s army esports,random optimization,0.21621621621621623
What Does #Freedom Look Like? Instagram and the Visual Imagination of Values,[HTML] How does foreign direct investment affect economic growth?,10.1093/joc/jqab021,2021,"https://scholar.google.com/scholar?cites=1792035769798986786&as_sdt=5,50&sciodt=0,50&hl=en",10280,what does freedom look like instagram and the visual imagination of values,html how does foreign direct investment affect economic growth,0.3088235294117647
"Intellectuals Debate #MeToo in China: Legitimizing Feminist Activism, Challenging Gendered Myths, and Reclaiming Feminism",[BOOK] European stories: Intellectual debates on Europe in national contexts,10.1093/joc/jqaa033,2020,"https://scholar.google.com/scholar?cites=6853870533933536006&as_sdt=5,50&sciodt=0,50&hl=en",132,intellectuals debate metoo in china legitimizing feminist activism challenging gendered myths and reclaiming feminism,book european stories intellectual debates on europe in national contexts,0.3894736842105263
"Past Debates, Fresh Impact on Nano-Enabled Food: A Multigroup Comparison of Presumed Media Influence Model Based on Spillover Effects of Attitude Toward Genetically Modified Food","Past debates, fresh impact on nano-enabled food: A multigroup comparison of presumed media influence model based on spillover effects of attitude toward …",10.1093/joc/jqaa019,2020,"https://scholar.google.com/scholar?cites=13485155294610962216&as_sdt=5,50&sciodt=0,50&hl=en",15,past debates fresh impact on nano enabled food a multigroup comparison of presumed media influence model based on spillover effects of attitude toward genetically modified food,past debates fresh impact on nano enabled food a multigroup comparison of presumed media influence model based on spillover effects of attitude toward,0.9202453987730062
"Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","Toward an aggregate, implicit, and dynamic model of norm formation: Capturing large-scale media representations of dynamic descriptive norms through automated …",10.1093/joc/jqz033,2019,"https://scholar.google.com/scholar?cites=2660041350042795564&as_sdt=5,50&sciodt=0,50&hl=en",13,toward an aggregate implicit and dynamic model of norm formation capturing large scale media representations of dynamic descriptive norms through automated and crowdsourced content analysis,toward an aggregate implicit and dynamic model of norm formation capturing large scale media representations of dynamic descriptive norms through automated,0.9011627906976745
"Time to #Protest: Selective Exposure, Cascading Activation, and Framing in Social Media",The unreality of time,10.1093/joc/jqy007,2018,"https://scholar.google.com/scholar?cites=15920151430574857517&as_sdt=5,50&sciodt=0,50&hl=en",2580,time to protest selective exposure cascading activation and framing in social media,the unreality of time,0.07692307692307693
#CommunicationSoWhite,Random optimization,10.1093/joc/jqy003,2018,"https://scholar.google.com/scholar?cites=16237036322479766335&as_sdt=5,50&sciodt=0,50&hl=en",565,communicationsowhite,random optimization,0.46153846153846156
"Should Altruism, Solidarity, or Reciprocity be Used as Prosocial Appeals? Contrasting Conceptions of Members of the General Public and Medical Professionals Regarding Promoting Organ Donation","Should altruism, solidarity, or reciprocity be used as prosocial appeals? Contrasting conceptions of members of the general public and medical professionals …",10.1111/jcom.12267,2016,"https://scholar.google.com/scholar?cites=14013244324729181691&as_sdt=5,50&sciodt=0,50&hl=en",19,should altruism solidarity or reciprocity be used as prosocial appeals contrasting conceptions of members of the general public and medical professionals regarding promoting organ donation,should altruism solidarity or reciprocity be used as prosocial appeals contrasting conceptions of members of the general public and medical professionals,0.8973607038123167
Hijacking #MYNYPD: Social Media Dissent and Networked Counterpublics,[BOOK] Hijacking sustainability,10.1111/jcom.12185,2015,"https://scholar.google.com/scholar?cites=6537464878406959375&as_sdt=5,50&sciodt=0,50&hl=en",261,hijacking mynypd social media dissent and networked counterpublics,book hijacking sustainability,0.29473684210526313
"Fear and Anger Responses to Local News Coverage of Alcohol-Related Crimes, Accidents, and Injuries: Explaining News Effects on Policy Support Using a Representative Sample of Messages and People","Fear and anger responses to local news coverage of alcohol-related crimes, accidents, and injuries: Explaining news effects on policy support using a representative …",10.1111/jcom.12020,2013,"https://scholar.google.com/scholar?cites=2353302826935641087&as_sdt=5,50&sciodt=0,50&hl=en",65,fear and anger responses to local news coverage of alcohol related crimes accidents and injuries explaining news effects on policy support using a representative sample of messages and people,fear and anger responses to local news coverage of alcohol related crimes accidents and injuries explaining news effects on policy support using a representative,0.9147727272727273
"Theoretical Intersections Among Social Influences, Beliefs, and Intentions in the Context of 3G Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms","Theoretical intersections among social influences, beliefs, and intentions in the context of 3G mobile services in Singapore: Decomposing perceived critical mass and …",10.1111/j.1460-2466.2010.01532.x,2011,"https://scholar.google.com/scholar?cites=1575382112978635663&as_sdt=5,50&sciodt=0,50&hl=en",62,theoretical intersections among social influences beliefs and intentions in the context of g mobile services in singapore decomposing perceived critical mass and subjective norms,theoretical intersections among social influences beliefs and intentions in the context of g mobile services in singapore decomposing perceived critical mass and,0.9498525073746312
A New Look at Agenda-Setting Effects—Comparing the Predictive Power of Overall Political News Consumption and Specific News Media Consumption Across Different Media Channels and Media Types,A new look at agenda-setting effects—Comparing the predictive power of overall political news consumption and specific news media consumption across different …,10.1111/j.1460-2466.2010.01482.x,2010,"https://scholar.google.com/scholar?cites=11492758225301165209&as_sdt=5,50&sciodt=0,50&hl=en",111,a new look at agenda setting effects comparing the predictive power of overall political news consumption and specific news media consumption across different media channels and media types,a new look at agenda setting effects comparing the predictive power of overall political news consumption and specific news media consumption across different,0.9106628242074928
"A Test of Rivaling Approaches to Explain News Effects: News on Issue Positions of Parties, Real-World Developments, Support and Criticism, and Success and Failure","A test of rivaling approaches to explain news effects: A multi-wave panel study of agenda setting, social and economic conditions, the tone of the news, and horse race …",10.1111/j.1460-2466.2007.00347.x,2007,"https://scholar.google.com/scholar?cites=10844646965792526704&as_sdt=5,50&sciodt=0,50&hl=en",1,a test of rivaling approaches to explain news effects news on issue positions of parties real world developments support and criticism and success and failure,a test of rivaling approaches to explain news effects a multi wave panel study of agenda setting social and economic conditions the tone of the news and horse race,0.5171339563862928
Visual Elements in Public Journalism Newspapers in an Election: A Content Analysis of the Photographs and Graphics in Campaign 2000,[PDF] Use of visual communication in public journalism,10.1111/j.1460-2466.2004.tb02639.x,2004,"https://scholar.google.com/scholar?cites=15698600413356394263&as_sdt=5,50&sciodt=0,50&hl=en",22,visual elements in public journalism newspapers in an election a content analysis of the photographs and graphics in campaign,use of visual communication in public journalism,0.3583815028901734
"I'm Not a Real Doctor, but I Play One in Virtual Reality: Implications of Virtual Reality for Judgments about Reality",Implications of virtual reality for judgments about reality,10.1111/j.1460-2466.1992.tb00813.x,1992,"https://scholar.google.com/scholar?cites=1865054215046916721&as_sdt=5,50&sciodt=0,50&hl=en",200,i m not a real doctor but i play one in virtual reality implications of virtual reality for judgments about reality,implications of virtual reality for judgments about reality,0.6781609195402298
Toward a Theory of Press-State Relations in the United States,[CITATION] Toward aTheory of Press-State Relations in the,10.1111/j.1460-2466.1990.tb02265.x,1990,"https://scholar.google.com/scholar?cites=10619749604297748956&as_sdt=5,50&sciodt=0,50&hl=en",2,toward a theory of press state relations in the united states,toward atheory of press state relations in the,0.8598130841121495
Opening Japan's Telecommunications Market,Opening Japan's Telecommunications Policy,10.1111/j.1460-2466.1988.tb02039.x,1988,"https://scholar.google.com/scholar?cites=16652788164622103415&as_sdt=5,50&sciodt=0,50&hl=en",5,opening japan s telecommunications market,opening japan s telecommunications policy,0.8536585365853658
International Telecommunications: What Price Policy?: Toward a Theory of the State and Telecommunications Policy,Toward a Theory of the State and Telecommunications Policy.,10.1111/j.1460-2466.1988.tb02040.x,1988,"https://scholar.google.com/scholar?cites=12368678453637101970&as_sdt=5,50&sciodt=0,50&hl=en",94,international telecommunications what price policy toward a theory of the state and telecommunications policy,toward a theory of the state and telecommunications policy,0.6946107784431138
Diversity of News: “Marginalizing” the Opposition,Diversity of news,10.1111/j.1460-2466.1985.tb02454.x,1985,"https://scholar.google.com/scholar?cites=8946205759903008037&as_sdt=5,50&sciodt=0,50&hl=en",138,diversity of news marginalizing the opposition,diversity of news,0.5396825396825397
Why Pornography? Models of Functions and Effects,[PDF] Models of Functions and Effects,10.1111/j.1460-2466.1984.tb02179.x,1984,"https://scholar.google.com/scholar?cites=68619008553893471&as_sdt=5,50&sciodt=0,50&hl=en",29,why pornography models of functions and effects,models of functions and effects,0.7948717948717948
The “World of the News” Study,[CITATION] The “World of the news” study: Results of international cooperation,10.1111/j.1460-2466.1984.tb02990.x,1984,"https://scholar.google.com/scholar?cites=14443674501380267690&as_sdt=5,50&sciodt=0,50&hl=en",188,the world of the news study,the world of the news study results of international cooperation,0.5934065934065934
The International Flow of Television Programs,Television Traffic: A One-Way Street? A Survey and Analysis of the International Flow of Television Programme Material. Reports and Papers on Mass Communication …,10.1111/j.1460-2466.1984.tb02993.x,1984,"https://scholar.google.com/scholar?cites=14130720565060742023&as_sdt=5,50&sciodt=0,50&hl=en",639,the international flow of television programs,television traffic a one way street a survey and analysis of the international flow of television programme material reports and papers on mass communication,0.44554455445544555
Pornography and social science research,Pornography and social science research: Serious questions.….,10.1111/j.1460-2466.1983.tb02440.x,1983,"https://scholar.google.com/scholar?cites=3549633014937133626&as_sdt=5,50&sciodt=0,50&hl=en",17,pornography and social science research,pornography and social science research serious questions,0.8125
"The Portrayal of Driving on Television, 1975–1980",The Portrayal of Driving on Prime-time Commercial Television 1975-1979,10.1111/j.1460-2466.1983.tb02387.x,1983,"https://scholar.google.com/scholar?cites=14193400878244020180&as_sdt=5,50&sciodt=0,50&hl=en",2,the portrayal of driving on television,the portrayal of driving on prime time commercial television,0.7755102040816326
Producing TV's World: How Important is Community?,"[PDF] Producing TV's World: How Important Is Community, an Essay Review",10.1111/j.1460-2466.1982.tb00505.x,1982,"https://scholar.google.com/scholar?cites=11928874843720078593&as_sdt=5,50&sciodt=0,50&hl=en",3,producing tv s world how important is community,producing tv s world how important is community an essay review,0.8545454545454545
"A Rhetorical Profile of Religious News: Time, 1947–1976",[CITATION] A rhetorical profile of religious news,10.1111/j.1460-2466.1981.tb00428.x,1981,"https://scholar.google.com/scholar?cites=5826849614144533868&as_sdt=5,50&sciodt=0,50&hl=en",6,a rhetorical profile of religious news time,a rhetorical profile of religious news,0.9382716049382716
“Whistle Blowing”: Implications for Organizational Communication,Whistle Blowing: Implications for Organizational Communication Scholars.,10.1111/j.1460-2466.1980.tb02020.x,1980,"https://scholar.google.com/scholar?cites=14661015511457706125&as_sdt=5,50&sciodt=0,50&hl=en",111,whistle blowing implications for organizational communication,whistle blowing implications for organizational communication scholars,0.9312977099236641
Designing for the Participants,"[BOOK] Teletechniques, an instructional model for interactive teleconferencing",10.1111/j.1460-2466.1978.tb01639.x,1978,"https://scholar.google.com/scholar?cites=10432076382570420422&as_sdt=5,50&sciodt=0,50&hl=en",19,designing for the participants,book teletechniques an instructional model for interactive teleconferencing,0.26666666666666666
Mother vs. Commercial,[PDF] Children's TV commercials: A review of research,10.1111/j.1460-2466.1978.tb01569.x,1978,"https://scholar.google.com/scholar?cites=13278805228906953024&as_sdt=5,50&sciodt=0,50&hl=en",68,mother vs commercial,children s tv commercials a review of research,0.3939393939393939
Rewards for “Openness”,Demonstrating empathy for foreign-born employees through openness and acceptance: A quasi-experimental field study,10.1111/j.1460-2466.1978.tb01574.x,1978,"https://scholar.google.com/scholar?cites=7376067367079293113&as_sdt=5,50&sciodt=0,50&hl=en",18,rewards for openness,demonstrating empathy for foreign born employees through openness and acceptance a quasi experimental field study,0.24060150375939848
Women's Magazines and the Equal Rights Amendment: Friend or Foe?,Women's Magazines and the ERA: Friend or Foe?.,10.1111/j.1460-2466.1978.tb01584.x,1978,"https://scholar.google.com/scholar?cites=13509423606692275325&as_sdt=5,50&sciodt=0,50&hl=en",28,women s magazines and the equal rights amendment friend or foe,women s magazines and the era friend or foe,0.8
Experiencing Television News,[PDF] Watching TV news as para‐social interaction,10.1111/j.1460-2466.1977.tb01865.x,1977,"https://scholar.google.com/scholar?cites=322698771148165266&as_sdt=5,50&sciodt=0,50&hl=en",646,experiencing television news,watching tv news as para social interaction,0.3380281690140845
From Dog Sled to Dial Phone: A Cultural Gap?,From Dog Sled to Dial Phone: A Cultural Gap?--The Far North.,10.1111/j.1460-2466.1977.tb01867.x,1977,"https://scholar.google.com/scholar?cites=8430466640013852802&as_sdt=5,50&sciodt=0,50&hl=en",11,from dog sled to dial phone a cultural gap,from dog sled to dial phone a cultural gap the far north,0.8571428571428571
The Role of Radio in the Canadian North,The Role of Radio in the Canadian North--The Far North.,10.1111/j.1460-2466.1977.tb01868.x,1977,"https://scholar.google.com/scholar?cites=4453796491984894520&as_sdt=5,50&sciodt=0,50&hl=en",22,the role of radio in the canadian north,the role of radio in the canadian north the far north,0.8478260869565217
Television and the Canadian Eskimo: The Human Perspective,Television and the Canadian Eskimo: The Human Perspective--The Far North.,10.1111/j.1460-2466.1977.tb01869.x,1977,"https://scholar.google.com/scholar?cites=17147760328340875583&as_sdt=5,50&sciodt=0,50&hl=en",7,television and the canadian eskimo the human perspective,television and the canadian eskimo the human perspective the far north,0.8888888888888888
Anik I and Isolation: Television in the Lives of Canadian Eskimos,Anik I and Isolation: Television in the Lives of Canadian Eskimos--The Far North.,10.1111/j.1460-2466.1977.tb01870.x,1977,"https://scholar.google.com/scholar?cites=4411124173304990333&as_sdt=5,50&sciodt=0,50&hl=en",16,anik i and isolation television in the lives of canadian eskimos,anik i and isolation television in the lives of canadian eskimos the far north,0.9014084507042254
New Magic for Old: TV in Cree Culture,New Magic for Old: TV in Cree Culture--The Far North.,10.1111/j.1460-2466.1977.tb01871.x,1977,"https://scholar.google.com/scholar?cites=6326562217135956653&as_sdt=5,50&sciodt=0,50&hl=en",30,new magic for old tv in cree culture,new magic for old tv in cree culture the far north,0.8372093023255814
Television on the Bering Strait,Television on the Bering Strait--The Far North.,10.1111/j.1460-2466.1977.tb01875.x,1977,"https://scholar.google.com/scholar?cites=9745829728106731833&as_sdt=5,50&sciodt=0,50&hl=en",6,television on the bering strait,television on the bering strait the far north,0.8157894736842105
Mini-TV: The Case for Cassettes,Mini-TV: The Case for Cassettes--The Far North.,10.1111/j.1460-2466.1977.tb01876.x,1977,"https://scholar.google.com/scholar?cites=16497130782817664597&as_sdt=5,50&sciodt=0,50&hl=en",2,mini tv the case for cassettes,mini tv the case for cassettes the far north,0.8108108108108109
“Beneficial” Aggression,[BOOK] The silent language of psychotherapy: Social reinforcement of unconscious processes,10.1111/j.1460-2466.1977.tb02133.x,1977,"https://scholar.google.com/scholar?cites=13624710179913929003&as_sdt=5,50&sciodt=0,50&hl=en",381,beneficial aggression,book the silent language of psychotherapy social reinforcement of unconscious processes,0.25925925925925924
The Impact of “Instant Analysis”,Public affairs television and the growth of political malaise: The case of “The Selling of the Pentagon”,10.1111/j.1460-2466.1977.tb01822.x,1977,"https://scholar.google.com/scholar?cites=13030845985324186671&as_sdt=5,50&sciodt=0,50&hl=en",1101,the impact of instant analysis,public affairs television and the growth of political malaise the case of the selling of the pentagon,0.21374045801526717
Movements with Precise Meanings,"[CITATION] Movements with Precise Meanings:'Journal ofCommunication, 26. Ekinan, P, and Friesen, W (1969)",10.1111/j.1460-2466.1976.tb01898.x,1976,"https://scholar.google.com/scholar?cites=10163610670711779107&as_sdt=5,50&sciodt=0,50&hl=en",2,movements with precise meanings,movements with precise meanings journal ofcommunication ekinan p and friesen w,0.5688073394495413
What is Funny to Whom?,What is funny to whom? The role of gender.,10.1111/j.1460-2466.1976.tb01920.x,1976,"https://scholar.google.com/scholar?cites=2954225197754505653&as_sdt=5,50&sciodt=0,50&hl=en",211,what is funny to whom,what is funny to whom the role of gender,0.6885245901639344
Radio vs. TV: The Effect of the Medium,Setting the Political Agenda: Radio vs. TV: The Effect of the Medium.,10.1111/j.1460-2466.1976.tb01376.x,1976,"https://scholar.google.com/scholar?cites=14195337292473174040&as_sdt=5,50&sciodt=0,50&hl=en",62,radio vs tv the effect of the medium,setting the political agenda radio vs tv the effect of the medium,0.7128712871287128
Living with Television: The Violence Profile,TV violence profile no. 8: The highlights,10.1111/j.1460-2466.1976.tb01397.x,1976,"https://scholar.google.com/scholar?cites=13126373591770950458&as_sdt=5,50&sciodt=0,50&hl=en",393,living with television the violence profile,tv violence profile no the highlights,0.45
Presidential Television,Setting the Political Agenda: Presidential Television.,10.1111/j.1460-2466.1976.tb01383.x,1976,"https://scholar.google.com/scholar?cites=14603201702938287285&as_sdt=5,50&sciodt=0,50&hl=en",12,presidential television,setting the political agenda presidential television,0.6133333333333333
Recommendations for Priorities,Cognitive‐behavioral therapy in the time of coronavirus: Clinician tips for working with eating disorders via telehealth when face‐to‐face meetings are not possible,10.1111/j.1460-2466.1976.tb01388.x,1976,"https://scholar.google.com/scholar?cites=5349247936061748419&as_sdt=5,50&sciodt=0,50&hl=en",122,recommendations for priorities,cognitive behavioral therapy in the time of coronavirus clinician tips for working with eating disorders via telehealth when face to face meetings are not possible,0.21761658031088082
The Japanese Experience,Sesame Street Around the World: The Japanese Experience.,10.1111/j.1460-2466.1976.tb01392.x,1976,"https://scholar.google.com/scholar?cites=17677556007179607622&as_sdt=5,50&sciodt=0,50&hl=en",8,the japanese experience,sesame street around the world the japanese experience,0.5974025974025974
The Educational Impact,Sesame Street Around the World: The Educational Impact.,10.1111/j.1460-2466.1976.tb01395.x,1976,"https://scholar.google.com/scholar?cites=4092110682368111613&as_sdt=5,50&sciodt=0,50&hl=en",18,the educational impact,sesame street around the world the educational impact,0.5866666666666667
The Social Content of Pornography,Explicit sex: Liberation or exploitation? The social content of pornography.,10.1111/j.1460-2466.1976.tb01351.x,1976,"https://scholar.google.com/scholar?cites=3415405062303201623&as_sdt=5,50&sciodt=0,50&hl=en",214,the social content of pornography,explicit sex liberation or exploitation the social content of pornography,0.6226415094339622
Danish “Permissiveness” Revisited,"Explicit Sex--Liberation or Exploitation: Danish"" Permissiveness"" Revisited.",10.1111/j.1460-2466.1976.tb01355.x,1976,"https://scholar.google.com/scholar?cites=9754708126255477078&as_sdt=5,50&sciodt=0,50&hl=en",28,danish permissiveness revisited,explicit sex liberation or exploitation danish permissiveness revisited,0.6078431372549019
Positive Social Learning,Saturday morning television: A profile of the 1974–75 children's season,10.1111/j.1460-2466.1975.tb00643.x,1975,"https://scholar.google.com/scholar?cites=671128540842135161&as_sdt=5,50&sciodt=0,50&hl=en",39,positive social learning,saturday morning television a profile of the children s season,0.13953488372093023
Communication for Health: Unselling Heart Disease,[PDF] The community-based strategy to prevent coronary heart disease: conclusions from the ten years of the North Karelia project,10.1111/j.1460-2466.1975.tb00613.x,1975,"https://scholar.google.com/scholar?cites=13563500436850889666&as_sdt=5,50&sciodt=0,50&hl=en",736,communication for health unselling heart disease,the community based strategy to prevent coronary heart disease conclusions from the ten years of the north karelia project,0.3058823529411765
"Talking with the Doctor, 1",[BOOK] Studies in Discourse Analysis (RLE Linguistics B: Grammar),10.1111/j.1460-2466.1975.tb00616.x,1975,"https://scholar.google.com/scholar?cites=11416138149785042007&as_sdt=5,50&sciodt=0,50&hl=en",103,talking with the doctor,book studies in discourse analysis rle linguistics b grammar,0.21686746987951808
"Talking with the Doctor, 2",Talking with the doctor: II.,10.1111/j.1460-2466.1975.tb00617.x,1975,"https://scholar.google.com/scholar?cites=13691339167638278653&as_sdt=5,50&sciodt=0,50&hl=en",93,talking with the doctor,talking with the doctor ii,0.9387755102040817
A Dialogue on Technology Assessment: The Video Telephone - Critique and Rejoinder,A Dialogue on Technology Assessment; The Video Telephone Critique and Rejoinder. Publication No. 75-1.,10.1111/j.1460-2466.1974.tb00420.x,1974,"https://scholar.google.com/scholar?q=related:zdsTPbeQ-tMJ:scholar.google.com/&scioq=A+Dialogue+on+Technology+Assessment:+The+Video+Telephone+-+Critique+and+Rejoinder,+Journal+of+Communication,+Anthony+G.+Oettinger&hl=en&as_sdt=0,50",0,a dialogue on technology assessment the video telephone critique and rejoinder,a dialogue on technology assessment the video telephone critique and rejoinder publication no,0.9122807017543859
Myth in Communication,"[CITATION] Myth in Communication,"" The Journal of Communication, 20 (Mar. 1970), 17-31 and AJM Sykes",10.1111/j.1460-2466.1970.tb00861.x,1970,"https://scholar.google.com/scholar?cites=18197054763153121306&as_sdt=5,50&sciodt=0,50&hl=en",2,myth in communication,myth in communication the journal of communication mar and ajm sykes,0.47191011235955055
Attitude Convergence in Small Groups,[BOOK] Attitude convergence in small groups,10.1111/j.1460-2466.1965.tb01344.x,1965,"https://scholar.google.com/scholar?cites=13106417626297269962&as_sdt=5,50&sciodt=0,50&hl=en",16,attitude convergence in small groups,book attitude convergence in small groups,0.935064935064935
Communication and the Labor-Management Mediation Process: Some Aspects and Hypotheses,Communication research and the American labor union,10.1111/j.1460-2466.1965.tb01328.x,1965,"https://scholar.google.com/scholar?cites=14338170351032324930&as_sdt=5,50&sciodt=0,50&hl=en",8,communication and the labor management mediation process some aspects and hypotheses,communication research and the american labor union,0.4740740740740741
I. I Have Symptoms,[BOOK] The Digital Banal: New Media and American Literature and Culture,10.1111/j.1460-2466.1964.tb02339.x,1964,"https://scholar.google.com/scholar?cites=16253363928444162678&as_sdt=5,50&sciodt=0,50&hl=en",57,i i have symptoms,book the digital banal new media and american literature and culture,0.1411764705882353
A Rationale for the College Communication Course,[CITATION] A RATIONALE FOR THE COLLEGE COMMUNICATION,10.1111/j.1460-2466.1960.tb00513.x,1960,"https://scholar.google.com/scholar?q=related:VAV75dWYItQJ:scholar.google.com/&scioq=A+Rationale+for+the+College+Communication+Course,+Journal+of+Communication,+Howard+H.+Dean&hl=en&as_sdt=0,50",0,a rationale for the college communication course,a rationale for the college communication,0.9213483146067416
Interlingua,[BOOK] Interlingua-English: a dictionary of the international language,10.1111/j.1460-2466.1955.tb01101.x,1955,"https://scholar.google.com/scholar?cites=5416434810954727121&as_sdt=5,50&sciodt=0,50&hl=en",24,interlingua,book interlingua english a dictionary of the international language,0.28205128205128205
Rumors in a Disaster,"[BOOK] Rumors in a Disaster, Observation of the Rumors and Concomitant Factors in a Disaster Situation",10.1111/j.1460-2466.1954.tb00239.x,1954,"https://scholar.google.com/scholar?cites=18323822731299713407&as_sdt=5,50&sciodt=0,50&hl=en",22,rumors in a disaster,book rumors in a disaster observation of the rumors and concomitant factors in a disaster situation,0.33613445378151263
Communication in Industry,A new era of minimal effects? The changing foundations of political communication,10.1111/j.1460-2466.1952.tb00195.x,1952,"https://scholar.google.com/scholar?cites=1672898830476441185&as_sdt=5,50&sciodt=0,50&hl=en",2108,communication in industry,a new era of minimal effects the changing foundations of political communication,0.24761904761904763
"Why Do People Share Ideologically Extreme, False, and Misleading Content on Social Media? A Self-Report and Trace Data–Based Analysis of Countermedia Content Dissemination on Facebook and Twitter","Why do people share ideologically extreme, false, and misleading content on social media? A self-report and trace data–based analysis of countermedia content …",10.1093/hcr/hqz022,2020,"https://scholar.google.com/scholar?cites=3827594964253996271&as_sdt=5,50&sciodt=0,50&hl=en",71,why do people share ideologically extreme false and misleading content on social media a self report and trace data based analysis of countermedia content dissemination on facebook and twitter,why do people share ideologically extreme false and misleading content on social media a self report and trace data based analysis of countermedia content,0.8901734104046243
The Implications of Computer-Mediated Communication (Cmc) for Social Support Message Processing and Outcomes: When and Why Are the Effects of Support Messages Strengthened during Cmc?,The implications of computer-mediated communication (CMC) for social support message processing and outcomes: When and why are the effects of support …,10.1111/hcre.12087,2016,"https://scholar.google.com/scholar?cites=7476023868001487307&as_sdt=5,50&sciodt=0,50&hl=en",42,the implications of computer mediated communication cmc for social support message processing and outcomes when and why are the effects of support messages strengthened during cmc,the implications of computer mediated communication cmc for social support message processing and outcomes when and why are the effects of support,0.8984615384615384
The Associations Between Parents' References to Their Own past Substance Use and Youth's Substance-Use Beliefs and Behaviors: a Comparison of Latino and European American Youth,The associations between parents' references to their own past substance use and youth's substance-use beliefs and behaviors: a comparison of Latino and …,10.1111/hcre.12001,2013,"https://scholar.google.com/scholar?cites=7980401043294600799&as_sdt=5,50&sciodt=0,50&hl=en",45,the associations between parents references to their own past substance use and youth s substance use beliefs and behaviors a comparison of latino and european american youth,the associations between parents references to their own past substance use and youth s substance use beliefs and behaviors a comparison of latino and,0.9259259259259259
Communication Processes That Mediate Family Communication Patterns and Mental Well-Being: A Mean and Covariance Structures Analysis of Young Adults from Divorced and Nondivorced Families,Communication processes that mediate family communication patterns and mental well-being: A mean and covariance structures analysis of young adults from …,10.1111/j.1468-2958.2007.00302.x,2007,"https://scholar.google.com/scholar?cites=17276367372629970567&as_sdt=5,50&sciodt=0,50&hl=en",175,communication processes that mediate family communication patterns and mental well being a mean and covariance structures analysis of young adults from divorced and nondivorced families,communication processes that mediate family communication patterns and mental well being a mean and covariance structures analysis of young adults from,0.8988095238095238
"Distinctiveness and Influence of Subjective Norms, Personal Descriptive and Injunctive Norms, and Societal Descriptive and Injunctive Norms on Behavioral Intent: A Case of Two Behaviors Critical to Organ Donation","Distinctiveness and influence of subjective norms, personal descriptive and injunctive norms, and societal descriptive and injunctive norms on behavioral intent: A …",10.1111/j.1468-2958.2007.00296.x,2007,"https://scholar.google.com/scholar?cites=10069821016834771914&as_sdt=5,50&sciodt=0,50&hl=en",461,distinctiveness and influence of subjective norms personal descriptive and injunctive norms and societal descriptive and injunctive norms on behavioral intent a case of two behaviors critical to organ donation,distinctiveness and influence of subjective norms personal descriptive and injunctive norms and societal descriptive and injunctive norms on behavioral intent a,0.8672086720867209
